114	60	1
60	77	1
113	97	2
49	97	2
107	57	3
38	96	4
7	86	5
57	58	6
113	98	7
87	98	7
59	7	8
105	115	9
105	68	9
42	68	9
17	68	9
59	60	10
61	72	11
111	81	12
1	66	13
81	94	14
49	58	15
49	67	15
92	93	15
45	49	15
113	58	15
58	76	15
58	92	15
58	87	15
45	67	15
45	76	15
113	92	15
49	92	15
67	92	15
76	93	15
49	76	15
67	87	15
45	58	15
45	87	15
87	92	15
113	67	15
113	76	15
76	87	15
113	93	15
45	92	15
58	93	15
67	76	15
49	93	15
67	93	15
49	87	15
113	45	15
87	93	15
5	6	16
37	44	17
13	37	17
25	88	18
20	37	19
3	4	20
3	73	20
3	75	20
30	56	21
30	80	21
20	56	21
30	95	21
30	31	21
20	30	21
80	95	21
20	80	21
20	95	21
102	20	21
102	95	21
31	36	21
36	56	21
36	95	21
31	56	21
31	80	21
102	31	21
20	31	21
102	80	21
20	36	21
56	80	21
30	36	21
102	30	21
36	80	21
31	95	21
56	95	21
102	56	21
102	36	21
15	16	22
15	3	22
17	39	23
105	12	24
11	12	25
12	4	25
12	6	25
6	91	25
74	78	26
74	8	26
13	18	27
56	7	28
2	28	29
68	69	30
21	37	31
102	52	32
41	52	33
41	8	33
100	86	34
44	62	34
39	72	34
15	72	34
13	35	34
15	55	34
32	86	34
39	55	34
27	62	34
27	35	34
19	39	34
13	19	34
100	15	34
32	44	34
47	48	35
8	83	36
78	83	36
25	85	37
59	98	38
112	47	39
22	47	39
4	59	40
44	80	41
81	86	42
21	22	43
111	14	44
108	89	45
31	83	46
30	83	46
83	95	46
46	63	47
106	63	47
60	98	48
102	2	49
101	83	50
40	83	50
78	99	51
14	46	52
64	65	53
108	99	54
103	53	54
53	75	54
53	85	54
11	6	54
11	75	54
103	73	54
4	6	54
4	85	54
108	82	54
4	82	54
6	99	54
108	41	54
108	73	54
6	82	54
103	99	54
73	82	54
85	99	54
103	108	54
6	75	54
108	85	54
82	99	54
103	11	54
4	75	54
73	75	54
82	85	54
41	73	54
75	85	54
108	11	54
53	73	54
6	85	54
108	6	54
4	41	54
4	53	54
103	75	54
41	99	54
41	53	54
53	99	54
103	4	54
4	73	54
53	6	54
41	82	54
11	82	54
41	75	54
11	99	54
11	85	54
103	41	54
11	73	54
60	67	55
62	93	56
51	52	57
29	79	57
51	79	57
51	69	57
22	33	58
19	37	59
49	99	60
40	55	61
27	28	62
64	98	63
81	83	64
2	58	65
37	38	66
39	40	67
54	87	68
49	50	68
49	54	68
1	42	69
42	5	69
1	105	69
10	42	69
5	94	69
105	24	69
17	5	69
17	94	69
10	24	69
10	105	69
1	5	69
1	94	69
42	94	69
17	24	69
24	5	69
105	42	69
1	17	69
105	94	69
24	42	69
1	24	69
105	5	69
1	10	69
10	17	69
10	94	69
105	17	69
17	42	69
24	94	69
10	5	69
21	76	70
67	77	70
66	67	70
76	77	70
80	81	71
30	81	71
81	95	71
26	54	72
101	103	73
100	90	74
107	26	75
17	18	76
27	4	77
13	14	78
70	84	79
70	89	79
100	35	80
55	72	80
100	32	80
55	62	80
62	72	80
32	55	80
100	55	80
35	72	80
19	55	80
19	35	80
100	19	80
19	32	80
19	72	80
35	55	80
100	72	80
35	62	80
32	72	80
100	62	80
32	62	80
19	62	80
32	35	80
30	43	81
62	63	82
72	73	83
114	29	84
25	26	85
115	16	86
105	73	87
29	39	88
1	2	89
1	34	89
87	88	90
109	23	91
22	8	91
79	8	91
78	8	91
23	69	91
112	52	91
109	52	91
52	9	91
23	9	91
112	78	91
52	79	91
22	78	91
22	69	91
109	78	91
22	9	91
52	69	91
23	78	91
112	8	91
78	9	91
69	8	91
69	9	91
109	22	91
112	69	91
109	8	91
22	52	91
52	78	91
23	52	91
109	112	91
109	69	91
112	9	91
23	8	91
112	79	91
22	23	91
109	79	91
8	9	91
23	79	91
112	22	91
79	9	91
78	79	91
69	79	91
43	58	92
89	90	93
108	76	94
104	46	95
106	90	95
106	26	95
2	46	95
104	110	95
110	26	95
26	46	95
34	90	95
2	90	95
46	90	95
26	90	95
104	2	95
110	34	95
2	26	95
104	90	95
110	90	95
110	2	95
106	2	95
34	46	95
38	90	95
104	106	95
2	34	95
110	38	95
104	26	95
106	110	95
2	38	95
106	46	95
106	38	95
104	34	95
106	34	95
26	38	95
104	38	95
38	46	95
34	38	95
110	46	95
26	34	95
37	60	96
30	92	97
103	104	98
53	54	99
100	101	100
45	46	101
24	91	102
1	91	102
1	36	103
31	45	104
36	45	104
20	45	104
36	93	104
92	94	105
32	80	106
55	56	106
32	56	106
5	70	107
29	5	107
12	98	108
19	43	109
35	43	109
35	95	110
35	36	110
104	71	111
25	67	112
23	48	113
113	64	114
17	82	115
33	50	116
6	98	117
98	99	117
115	89	118
111	89	118
68	84	118
47	84	118
54	68	118
111	54	118
50	68	118
74	84	118
115	84	118
84	89	118
50	74	118
54	74	118
68	74	118
115	54	118
47	54	118
111	68	118
50	84	118
115	68	118
111	74	118
115	74	118
47	89	118
115	50	118
111	47	118
47	50	118
54	89	118
74	89	118
54	84	118
115	47	118
50	89	118
68	89	118
47	68	118
47	74	118
111	84	118
50	54	118
111	115	118
111	50	118
81	87	119
81	92	119
110	64	120
9	91	121
60	64	122
41	42	123
48	62	124
105	88	125
59	89	126
115	59	126
42	9	127
24	79	127
112	24	127
10	9	127
23	24	127
10	23	127
10	109	127
109	5	127
13	44	128
44	86	128
13	27	128
39	86	128
27	44	128
15	39	128
39	44	128
15	86	128
13	39	128
27	39	128
15	44	128
15	27	128
13	86	128
27	86	128
13	15	128
18	59	129
56	90	130
31	51	131
59	64	132
19	20	133
83	94	134
32	33	135
44	71	136
74	75	137
16	93	138
107	93	138
43	64	139
20	34	140
102	59	141
43	44	142
27	43	142
113	53	143
65	7	144
107	40	144
14	61	144
33	65	144
16	33	144
16	40	144
3	7	144
101	33	144
16	3	144
40	48	144
107	3	144
33	7	144
33	48	144
61	7	144
101	48	144
101	65	144
3	48	144
14	3	144
48	61	144
101	7	144
16	61	144
40	7	144
3	65	144
14	40	144
48	65	144
107	16	144
48	7	144
16	48	144
14	65	144
107	33	144
107	61	144
101	40	144
107	14	144
101	16	144
14	33	144
3	61	144
101	14	144
14	16	144
107	65	144
33	40	144
61	65	144
101	3	144
40	61	144
107	7	144
60	61	145
110	80	146
110	31	146
112	65	147
70	71	148
70	96	148
28	64	149
64	66	149
84	85	150
82	84	150
50	85	150
7	8	151
16	69	152
37	59	153
57	66	154
63	88	154
66	71	154
57	97	154
28	97	154
88	96	154
28	66	154
18	97	154
71	96	154
63	96	154
28	71	154
21	97	154
114	21	154
63	77	154
114	97	154
18	66	154
77	97	154
66	88	154
28	77	154
21	63	154
57	77	154
71	77	154
18	28	154
88	97	154
18	96	154
28	57	154
114	77	154
114	96	154
18	21	154
21	77	154
63	71	154
57	96	154
28	96	154
114	88	154
114	71	154
21	88	154
18	88	154
57	88	154
77	96	154
21	71	154
57	71	154
57	63	154
114	18	154
28	63	154
66	97	154
21	66	154
18	63	154
114	66	154
11	61	155
75	83	156
82	83	156
111	25	157
29	70	158
12	25	158
25	91	158
29	91	158
12	70	158
51	70	158
70	91	158
29	51	158
51	91	158
25	70	158
25	29	158
12	91	158
12	51	158
12	29	158
25	51	158
10	65	159
38	81	160
106	81	160
70	92	161
