!	0
%	2
007	4
12:00	6
1978	8
20/20	10
2000	12
21	14
22	16
2OOO	18
7_DAYS	20
90_DEGREE	22
911	24
A	26
AARDVARK	36
ABANDON	41
ABANDONMENT	43
ABBREVIATED	45
ABC	47
ABDOMEN	48
ABDUCT	53
ABE	59
ABIDE	61
ABILITY	63
ABLE	64
ABNORMAL	87
ABOUT	99
ABOVE	102
ABROAD	113
ABSENCE	115
ABSENT	127
ABSOLUT	133
ABSORB	135
ABSTRACT	137
ABSURD	142
ABUNDANCE	148
ABUNDANT	158
ABUSE	159
ABUSED	171
ACADEMY	173
ACCELERATE	176
ACCENT	184
ACCENTUATE	186
ACCEPT	188
ACCEPTANCE	202
ACCEPTED	204
ACCIDENT	206
ACCOMPANY	229
ACCOMPLISH	231
ACCOMPLISHED	240
ACCOUNT	247
ACCUMULATE	255
ACCURATE	264
ACCUSE	270
ACE	279
ACES	289
ACHE	290
ACHIEVE	232
ACHIEVEMENT	233
ACHOO	308
ACID	310
ACKNOWLEDGE	189
ACNE	331
ACORN	334
ACQUAINT	339
ACQUAINTANCE	341
ACQUIRE	256
ACRE	347
ACROBAT	353
ACROBATS	363
ACROSS	364
ACT	366
ACTION	381
ACTIVE	397
ACTIVITY	409
ACTOR	367
ACTRESS	416
AD	427
ADAM	440
ADAMS	442
ADD	257
ADDICT	455
ADDICTED	461
ADDICTION	462
ADDITION	444
ADDRESS	472
ADDUCT	54
ADIOS	480
ADJACENT	482
ADJECTIVE	484
ADJOURN	492
ADJUSTMENT	499
ADMIRAL	503
ADMIRE	505
ADMIRER	516
ADMISSION	190
ADMIT	322
ADOLESCENT	531
ADORABLE	540
ADORE	506
ADORN	507
ADULT	532
ADULTERY	559
ADULTS	565
ADVANCE	571
ADVANCED	577
ADVANTAGE	580
ADVENTURE	382
ADVENTUROUS	590
ADVERB	485
ADVERSARY	600
ADVERTISE	605
ADVERTISEMENT	428
ADVICE	607
ADVIL	617
ADVISE	623
AEROBICS	625
AEROSOL	632
AESOP	634
AFFAIR	560
AFFECT	642
AFFECTION	648
AFRAID	652
AFRICA	665
AFTER	678
AFTERNOON	688
AGAIN	697
AGAINST	708
AGE	723
AGENCY	734
AGENDA	745
AGENT	750
AGGRAVATE	757
AGGRAVATED	766
AGGRAVATING	768
AGGRESSIVE	770
AGO	777
AGONY	778
AGREE	191
AGREEMENT	788
AGRICULTURE	796
AHEAD	572
AHOY	809
AID	818
AIDE	828
AIDS	830
AIM	839
AIMLESS	845
AIR	847
AIRCRAFT	882
AIRLINE	887
AIRLINES	889
AIRPLANE	883
AIRPORT	891
AIR_CONDITIONER	910
AIR_CONDITIONING	912
AIR_FORCE	174
AIR_HEAD	919
AL	921
ALARM	922
ALASKA	933
ALBERT	936
ALBUM	939
ALCOHOL	160
ALE	972
ALERT	383
ALGAE	982
ALGEBRA	994
ALIEN	55
ALIENS	1006
ALIKE	1008
ALIVE	1016
ALL	1031
ALLEGIANCE	1044
ALLERGY	1048
ALLEY	1055
ALLIGATOR	1056
ALLOW	192
ALLOWED	1075
ALLY	1076
ALL_KNOWING	1077
ALMANAC	1079
ALMIGHTY	1088
ALMOND	1091
ALONE	653
ALONG	1118
ALOUD	1119
ALPHABET	27
ALRIGHT	1125
ALTER	500
ALTERNATIVE	1128
ALTO	1133
ALUMINUM	1143
ALVIN	1149
ALWAYS	1151
AM	1165
AMATEUR	1168
AMAZE	1176
AMAZEMENT	1186
AMBIGUOUS	1187
AMBITION	1189
AMBULANCE	207
AMERICA	1199
AMERICAN	1213
AMOEBA	1225
AMONG	1227
AMOUNT	1229
AMP	1243
AMPLIFY	1244
AMUSE	1254
AMUSING	1259
AN	28
ANAL	1261
ANALYSIS	1264
ANALYZE	1269
ANARCHY	1277
ANATOMY	1283
ANCESTOR	1289
ANCHOR	1299
ANCIENT	1290
ANDROID	1311
AND_ALE	1313
ANEMIA	1314
ANGEL	1316
ANGER	758
ANGLE	23
ANGRY	759
ANGUISH	1355
ANIMAL	37
ANIMALS	1444
ANIMATION	1454
ANISETTE	1456
ANKLE	1458
ANKLES	1470
ANKLET	1472
ANNIHILATE	1473
ANNOUNCE	1477
ANNOY	760
ANNOYING	1493
ANNUAL	1503
ANNUALLY	1507
ANONYMOUS	1509
ANOREXIA	1511
ANOTHER	698
ANSWER	1514
ANT	38
ANTEATER	39
ANTELOPE	1358
ANTENNA	1548
ANTHEM	1551
ANTI	709
ANTIDOTE	1552
ANTIMATTER	1557
ANTIPERSPIRANT	1559
ANTIQUE	1561
ANTISOCIAL	1565
ANTITHESIS	1567
ANTLER	1537
ANTLERS	1570
ANXIETY	1572
ANXIOUS	1573
ANY	1584
ANYONE	1586
ANYTHING	1587
ANYWHERE	1588
APART	1593
APARTHEID	666
APARTMENT	1598
APATHETIC	1610
APATHY	1618
APE	1359
APEX	1625
APOLOGY	193
APPARENT	1632
APPEAL	1634
APPEAR	1640
APPEARANCE	1646
APPENDAGE	1650
APPETITE	1654
APPLAUSE	1656
APPLE	1658
APPLE_JUICE	1679
APPLIANCE	1681
APPLICATION	1693
APPLY	1694
APPOINT	1697
APPOINTMENT	1699
APPRAISE	1703
APPRECIATION	1705
APPROVAL	203
APPROVE	1712
APPROXIMATE	1714
APRIL	1715
APRON	1718
AQUARIUS	1723
ARAB	1725
ARACHNID	1727
ARC	1729
ARCHES	1731
ARCHITECT	1733
ARCHITECTURE	1741
ARCTIC	1743
ARE	1749
AREA	348
ARENA	1770
ARGUE	780
ARGUMENT	1782
ARIES	1786
ARIGHT	1787
ARISTOTLE	1790
ARITHMETIC	995
ARM	1651
ARMOR	1032
ARMS	1811
ARMY	915
AROMA	1847
AROUND	100
ARREST	1863
ARRIVE	906
ARROGANT	1871
ARROW	1884
ART	138
ARTERY	1913
ARTICLE	1915
ARTIFACT	1919
ARTIFACTS	1920
ARTIST	1891
ARTISTIC	1922
ARTS	1923
ASCEND	1925
ASCENT	1932
ASH	1934
ASHAMED	1942
ASHES	1946
